country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Afghanistan,13.7121023720065,18.3800424016375,-6.24017199240269,357.261152798144,,,,56.0,23.0881691,,14.1,65.617,40578842.0
Albania,6.7252027153006,37.1970755614977,4.8268006234359,7756.96188744253,,96.3712299304757,2.72976994514465,86.0,7.53646231,,10.785,78.769,2451636.0
Algeria,9.26551551551553,30.7915561763341,3.60000000094915,4960.30334332888,,105.74715363116,4.74924673000603,79.0,3.63464284,,12.382,76.129,45477389.0
American Samoa,,46.9575200918485,1.73501577287065,18017.4589383973,,,,,,,,72.752,48342.0
Andorra,,,9.56461225648184,42414.0479861228,,90.4656808651512,2.64727997779846,98.0,7.52135801,,,84.016,79705.0
Angola,21.3552901320822,35.1960530217063,4.21600258475137,3682.1131513698,,,2.38535898416633,50.0,2.60041046,,14.124,64.246,35635029.0
Antigua and Barbuda,7.53107834634288,54.7237649635992,9.10780623385958,20105.1989085164,,121.563206835888,2.50368755552383,99.0,4.43146801,,,77.483,92840.0
Argentina,72.430757531824,16.2816677253254,6.02074537534855,13962.1894087223,,106.759826660156,4.79263019561768,85.0,10.15950489,40.7,6.805,75.806,45407904.0
Armenia,8.64091108973855,51.5709203656497,12.5999999997766,6571.97445545099,99.8199996948242,96.9454296559019,2.4918999671936,95.0,9.96211243,27.9,13.451,74.7658536585366,2969200.0
Aruba,,80.8068810212559,10.6364309604414,30975.9989121779,,102.620727539062,,,,,,76.226,107310.0
Australia,6.59409671341846,25.4615298373659,4.25304559238732,65169.5191118657,,99.1329879760742,5.05916023254395,96.0,9.89226055,,3.728,83.2,26018721.0
Austria,8.5468699318845,61.4273121186873,5.33096379400371,52336.7725223758,,100.77562713623,5.27748012542725,95.0,11.22519779,30.9,4.992,81.2951219512195,9041851.0
Azerbaijan,13.8522590144267,59.9868480668076,4.71468033247649,7770.594223351,,99.8082977244143,3.04690003395081,71.0,3.41549611,,5.65,74.125,10141756.0
"Bahamas, The",5.60540633583044,37.1589142824247,10.8779009410268,34957.1613279737,,,2.62367021406169,80.0,7.04287481,,9.25,74.491,397538.0
Bahrain,3.62574104304482,95.9613654006004,6.18016125475185,30470.5219276023,97.870002746582,96.9927291173487,1.71192127094005,99.0,3.89098358,,1.265,80.992,1524693.0
Bangladesh,7.69695437176898,12.8822264348985,7.09982877575158,2716.48592780431,79.0,107.802066750685,2.08538657806243,96.0,2.21544909,30.9,4.593,74.265,169384897.0
Barbados,,,17.2264626793379,24387.0387293761,,90.1875316776483,4.14000988006592,85.0,5.8744669,,7.261,75.676,282318.0
Belarus,15.209675274081,63.0511868938428,-4.65839591328999,7994.64806074889,,95.4307149291864,4.62823009490967,98.0,6.57784128,,3.574,74.1033658536585,9228071.0
Belgium,9.597511728725,94.4213446744405,3.9562379757933,50605.7496677086,,102.176986694336,6.27796983718872,96.0,10.73976326,26.4,5.57,81.7487804878049,11680210.0
Belize,6.27689319447544,52.5787874243921,9.25051329530994,7068.21728043145,87.879997253418,101.531373116389,4.60415983200073,81.0,4.21643019,,8.682,72.19,402733.0
Benin,1.35077863583527,20.8153300474458,6.25294705373625,1266.42711031904,51.3800010681152,108.036239624023,3.0972642678305,52.0,2.98184395,,1.685,60.475,13759501.0
Bermuda,,50.2988488872967,6.47622571186707,121613.939983629,,,1.77583338857166,,,,,82.062,64749.0
Bhutan,5.6391667139637,25.4988399587876,5.21386783786224,3711.32767981591,64.9100036621094,105.266151405341,7.46981980280053,97.0,3.91757464,28.5,5.947,72.754,780914.0
Bolivia,1.74632872945969,27.7939915042015,3.74741781241461,4219.46113742445,,99.1960878877715,7.57550001144409,69.0,7.15933084,41.2,3.552,67.434,12077154.0
Bosnia and Herzegovina,14.0208440826771,48.3071273410035,4.22681333390325,7655.59421024383,,101.604507446289,2.97012986426524,58.0,8.71644783,,12.657,76.777,3204802.0
Botswana,11.665567478802,43.5436117763611,5.48601706446772,8328.7090572666,,109.27325614686,,90.0,5.73650789,,23.615,68.749,2439892.0
Brazil,9.28010608956873,19.6307650034838,3.01669435408112,9281.33282136864,94.3853874531348,103.970321655273,5.61922979354858,81.0,9.38739491,52.0,9.231,74.872,210306415.0
British Virgin Islands,,,,,,73.1715698242188,2.48401999473572,,,,,77.177,38319.0
Brunei Darussalam,3.68225030604216,86.3893568836847,-1.62833154515108,36632.9280952155,,99.134912983916,,97.0,1.77042186,,5.191,72.917,455370.0
Bulgaria,15.3252589264366,69.9794748927614,4.0838640915123,13999.1949530956,,95.8885192871094,4.50109004974365,91.0,7.63849449,38.2,4.148,74.1609756097561,6465097.0
Burkina Faso,14.2902354303358,31.2180734191588,1.62673258211919,827.330843486661,40.9199981689453,82.2567064320916,5.29456753304241,88.0,7.41435528,,3.828,60.7,22509038.0
Burundi,18.8008786664945,,2.31770122223331,302.992505263552,,,,89.0,8.6687746,,0.909,62.882,13321097.0
Cabo Verde,7.93092925430087,38.6842542170134,15.843675684642,4323.31362032709,,102.973013922324,4.7252554800722,95.0,6.70243406,,12.239,75.907,519741.0
Cambodia,5.34370264895437,72.2070606780988,5.12990110773977,2325.03050040841,,106.331544381276,1.95793279576416,83.0,4.46856117,,0.245,70.528,17201724.0
Cameroon,6.24767713343861,19.321813317909,3.7367840056412,1604.87726954895,,112.494636113484,2.65952378267367,68.0,4.49439144,,3.646,62.443,27632771.0
Canada,6.80280115341613,33.9431906669379,4.18903628100851,56256.8007264015,,94.7449798583984,4.88021993637085,92.0,11.08119678,,5.279,81.2453658536585,38935934.0
Cayman Islands,,,5.77566708028824,93030.7051447803,,98.3856700574967,1.48894000053406,,,,,79.984,71591.0
Central African Republic,5.58316735183247,12.3004999986493,0.453901876447787,467.359825026238,,,2.11509129476365,32.0,9.94993496,,6.287,18.818,5098039.0
Chad,5.78802687843616,31.7353441144244,4.12969897676332,966.036468278568,,87.0347316780628,2.6016118897064,54.0,4.15823555,37.4,1.081,54.528,18455316.0
Channel Islands,,,5.34196140375869,67627.1417347907,,,,,,,5.923,81.0,167215.0
Chile,11.643866711056,35.6066282723137,2.15399356192458,15405.6165774073,,100.192268371582,4.89753007888794,94.0,10.0053072,43.0,8.249,79.176,19553036.0
China,1.97357555739051,20.2977316914005,3.1341888719577,12970.6056414327,,100.09807464465,,99.0,5.88078785,36.0,4.98,78.202,1412175000.0
Colombia,10.1772313546166,20.3883679938331,7.32827729427979,6680.44506854481,95.3138834471897,104.830467224121,,88.0,7.59037256,54.8,10.541,76.508,51737944.0
Comoros,12.5320314570999,12.9470275035631,2.60301031927843,1465.479642862,,,2.43164424110924,71.0,8.47119522,,3.879,66.481,834188.0
"Congo, Dem. Rep.",,40.8203246110598,9.31116944064918,687.738587554685,,,2.84466514463005,56.0,3.9417696,,4.54,60.979,102396968.0
"Congo, Rep.",3.04344334698478,63.8121468562925,1.47535613247133,2620.83804267402,,,2.72738253259215,65.0,2.30011368,,20.131,65.0,6035104.0
Costa Rica,8.27477490232654,42.4051961144394,4.55149177958398,13625.9008491328,,106.197128295898,,90.0,7.18368196,47.2,11.325,79.316,5081765.0
Cote d'Ivoire,5.23352856100843,24.2673603262295,6.39988362720531,2333.37128301259,,86.4545838787778,3.51197004318237,62.0,3.63847613,,2.31,61.562,30395002.0
Croatia,10.7805806758686,59.5120446927421,7.29445343642668,18465.5414420364,,100.527976989746,,90.0,7.29636335,30.0,6.811,77.5756097560976,3855641.0
Cuba,,40.4896279061686,1.77465227724316,,,100.580196272572,8.44086351669284,99.0,11.78773499,,1.829,77.629,11059820.0
Curacao,,,6.90599999999999,20057.1404747175,,,6.08167033605813,,,,,76.729,153321.0
Cyprus,8.39548297993334,104.66609337928,8.27372597293814,33231.04296875,,97.0016403198242,4.73588991165161,84.0,8.27201366,31.5,6.806,80.434,1331370.0
Czechia,15.1001651468371,72.4094281428088,2.8471706583814,28282.2236715857,,100.97534942627,4.30291986465454,97.0,8.47063065,25.9,2.224,78.9292682926829,10672118.0
Denmark,7.6965669988926,70.7552148776405,0.443832614908331,67781.0940939514,,100.244453430176,6.35586977005005,95.0,9.47411346,29.3,4.434,81.3048780487805,5903037.0
Djibouti,5.17980847967061,159.250735528808,5.16653702854374,3133.25779772463,,,,50.0,2.52554536,,26.272,65.54,1137096.0
Dominica,2.88490226829353,,10.3968076616121,9323.66089490562,,100.808761583825,6.04314243406571,87.0,5.97262001,,,71.081,66826.0
Dominican Republic,8.81109209279587,22.0261866198241,5.23795652902595,10104.2449349081,93.7022375646963,100.492291150329,3.61088872070271,85.0,4.64506817,37.0,5.504,74.211,11230734.0
Ecuador,3.46616972213077,30.9252456928287,5.86842354862311,6515.58528418336,96.2600021362305,99.5680141602854,3.59897994995117,74.0,7.60183907,45.5,3.713,76.577,17823897.0
"Egypt, Arab Rep.",13.8956609775178,15.0870258208479,6.58784560886967,4233.30783744856,79.4565788949049,89.5100870340285,,96.0,4.72362804,,6.546,71.01,112618250.0
El Salvador,7.19861615609867,32.433483149734,2.95461516549889,5074.60210221806,89.3518526572018,89.1304089502047,3.25634002685547,80.0,9.82036304,38.8,2.999,71.969,6280319.0
Equatorial Guinea,4.78671704710803,52.9670852025115,3.22350831658598,7589.29964909381,,,,49.0,2.83726358,38.5,8.334,63.355,1803545.0
Eritrea,,,,,,89.7312469482422,,93.0,3.87537837,,6.033,67.789,3409447.0
Estonia,19.3982634080616,87.4299380839503,-1.22616966587796,28340.3826549406,,99.2638168334961,5.20733976364136,87.0,6.93641424,32.3,5.571,77.8439024390244,1348840.0
Eswatini,,44.4953937213873,0.386070835562705,3894.1620089869,90.75,117.195740765085,5.57274175738511,83.0,7.2449131,,36.472,63.028,1218917.0
Ethiopia,33.8898797100898,8.24396037798902,5.32175988403378,982.103161506992,60.4599990844727,84.6317733971345,3.73649512188829,62.0,2.85298109,,3.386,66.897,125384287.0
Faroe Islands,,61.3744038777265,3.86099981669155,67058.2022648126,,,,,,,,82.9439024390244,53912.0
Fiji,4.32011856243056,,17.7451269773594,5414.12092119088,,112.260294588848,3.93839539074194,99.0,4.01752949,,5.403,67.148,919422.0
Finland,7.12350773301402,46.2847802806846,0.763041912763526,50440.560224974,,98.6190185546875,6.37603998184204,94.0,9.74152565,27.9,6.719,81.1878048780488,5556106.0
France,5.22236748369735,36.6160484268785,2.71676264185913,40988.6396406579,,102.709487915039,5.32435989379883,95.0,11.82888794,31.2,7.303,82.1292682926829,68184457.0
French Polynesia,,21.8171217385989,2.9373470716322,20053.9569369322,,,,,,,11.793,83.859,280378.0
Gabon,4.23124798274579,67.5787331934568,3.03761449530657,8409.2074145028,,,2.20773650357931,52.0,2.89087176,,20.319,67.713,2430747.0
"Gambia, The",11.5131198380505,8.56985063226593,5.49299823010114,836.244875868476,,97.2781723362608,2.89168744551701,74.0,3.53697729,,6.067,64.859,2636470.0
Georgia,11.8981654203198,52.4788792204227,10.9585321385624,6729.84659930283,99.5699996948242,102.727831178351,3.75498008728027,90.0,8.29634285,33.5,11.621,74.141,3712502.0
Germany,6.87257438551097,45.6284043425185,1.8092581243061,50506.5179638543,,100.218132019043,5.23916006088257,96.0,12.44708347,,3.137,80.6080487804878,83177813.0
Ghana,31.2558951049016,34.6640435533587,3.80484980952164,2229.89122647803,,98.2318953247047,2.90963831638452,95.0,3.67459154,,2.87,65.246,33149152.0
Gibraltar,,,,,,106.327724945135,,,,,,83.517,37609.0
Greece,9.64525981280632,49.2316205589503,5.52198580589408,20886.5243087629,,101.192031860352,3.37547993659973,94.0,8.44938278,33.4,12.426,80.7878048780488,10436882.0
Greenland,,40.7900871498763,2.00455580865604,55635.0006491223,,,,,,,,71.5404878048781,56661.0
Grenada,2.5805392590792,,7.31023806981959,10469.3867012856,,,4.03767284869161,76.0,4.99701262,,,75.151,116913.0
Guam,,7.88712011577424,5.09986426216793,41833.1517132825,,,,,,,5.383,77.102,165180.0
Guatemala,6.88512823344287,18.9454999823063,4.18451817243695,5358.70156997677,83.0299987792969,102.998277778394,3.20823001861572,86.0,7.1678791,,3.051,71.206,17847877.0
Guinea,10.4930409984424,45.4186514317354,3.97240784200721,1416.59612011764,,,2.00722302981184,51.0,3.83292699,,5.174,60.432,14055137.0
Guinea-Bissau,9.39075933985203,14.7248436661344,5.52987253058352,883.199131457831,63.9300003051758,,,75.0,8.33752728,,2.666,63.605,2105529.0
Guyana,6.11505550109935,,63.3346343654855,17913.4928066879,,,,97.0,2.52456355,,11.907,69.888,821637.0
Haiti,33.98393194707,7.23876011586942,-1.68198396897978,1760.62635668777,,,1.02689812206798,66.0,3.20755076,,14.54,63.948,11503606.0
Honduras,9.08963911525025,42.4391817948962,4.14356194013767,3003.28996826399,88.2764147235016,82.2937171979577,4.48280030802056,77.0,8.15452766,,8.774,72.715,10463872.0
"Hong Kong SAR, China",1.88136707196853,194.486518007141,-3.68378414495199,48825.8441873536,,103.028312901343,3.72866010665894,,,,4.318,83.6609756097561,7346100.0
Hungary,14.6081439492433,89.7719474858873,4.15238057779229,18428.028825614,,103.47647857666,3.81258988380432,99.0,6.6474123,,3.583,75.8682926829268,9605074.0
Iceland,8.3087551155892,46.7416216665013,8.82069395623492,76350.4550416502,,98.5116424560547,7.28923988342285,91.0,9.08145332,,3.789,82.119512195122,382003.0
India,6.69903414079852,23.2515412045298,7.60936497768895,2347.44829434623,76.3199996948242,112.073964742492,4.09865814174589,95.0,3.39623499,25.5,4.822,71.698,1425423212.0
Indonesia,4.20946463714784,24.5029116862832,5.30719722664799,4730.83484836107,,98.7008730463611,0.863943349575907,92.0,2.69389749,35.5,3.462,70.925,278830529.0
"Iran, Islamic Rep.",43.4884641742179,25.5666185174995,4.35281087521344,4721.20437099984,88.5939994931719,,2.6699800491333,99.0,5.62794113,34.8,9.085,76.799,89524246.0
Iraq,4.99476596381044,44.5259462145341,7.95904804992662,6520.73154560584,,,,97.0,4.33226347,,15.41,72.037,44070551.0
Ireland,7.82945736434105,139.505980538698,7.51113888415304,105190.685952731,,99.6199417114258,,90.0,6.02078247,29.9,4.465,82.509756097561,5212836.0
Isle of Man,,,-4.16539345213232,88328.548125887,,,,,,,,80.956,84132.0
Israel,4.41162725488371,31.3853280968641,6.26326343841286,54949.621556429,,96.3125686645508,5.93496990203857,98.0,7.12004995,,3.695,82.7,9557500.0
Italy,8.20128991161718,35.0991400412578,4.82117669913565,35653.9042103495,,101.56453704834,4.0698299407959,94.0,8.85022926,33.7,8.069,82.7,59013667.0
Jamaica,10.3495688391272,,6.43930323656186,6626.47502388538,,93.2681834287689,5.35435009002685,91.0,8.65338707,,4.083,71.481,2839144.0
Japan,2.49770278172255,21.5464241239166,0.941998775483285,34065.6438962526,,102.158706665039,,98.0,12.32275677,,2.614,83.9963414634146,125124989.0
Jordan,4.22915568897117,42.5374671563433,2.64743514912058,4332.25159897931,,98.541267066326,3.15300011634827,86.0,7.73623276,,18.2,77.088,11256263.0
Kazakhstan,15.0278644440851,41.5690089041544,3.19999999970734,11255.3396437881,,99.223902183157,4.36185360851405,99.0,3.74577999,,4.86,73.503,20034609.0
Kenya,7.65986268272224,15.9570283629469,4.85998104287999,2109.56288513137,,98.551967362001,4.51101801829815,89.0,4.32241869,37.7,5.565,63.549,54252461.0
Kiribati,5.34595440908904,7.60477631122431,4.56632593100372,2069.7671726925,,102.156527494347,14.7860312820513,85.0,10.52553844,,,66.269,130469.0
"Korea, Dem. People's Rep.",,,,,,,,99.0,,,3.457,73.641,26328845.0
"Korea, Rep.",5.08951365062842,45.294860984133,2.72756456708991,34822.4048404971,,99.0050201416016,5.81446981430054,97.0,8.8595314,,2.857,82.6804878048781,51672569.0
Kosovo,11.5805104542012,38.6256570148792,4.27849895827543,5290.95006509706,,,,,,38.3,,77.623,1768096.0
Kuwait,3.98064961990313,60.4493063070643,6.75866711966617,39981.7691035833,,,6.58236499988891,99.0,4.20024538,,2.133,80.5878048780488,4589643.0
Kyrgyz Republic,13.9229093174176,46.3372718307792,8.96750520041391,1739.72018344174,,96.7442875061351,7.16884382244099,94.0,5.04874945,26.4,4.767,72.0487804878049,6975220.0
Lao PDR,22.9562225132056,,2.70742652643155,2046.40440255621,,95.6988495024876,1.46083440434069,65.0,2.01825476,,1.209,68.715,7559007.0
Latvia,17.3102830198815,77.5014838423287,1.90853419029801,20221.103686109,,99.41796875,4.31920003890991,96.0,8.1044302,33.7,6.815,74.2780487804878,1879383.0
Lebanon,171.205491336641,34.8287792460469,-0.621678970663112,3654.35845534878,,76.4541233193651,1.33151427628711,67.0,4.91255951,35.3,11.105,78.003,5744489.0
Lesotho,8.27180389943028,46.5063822153721,2.38778020186284,1030.12582947757,,83.6343022439557,,84.0,12.89569187,,16.623,56.812,2286110.0
Liberia,7.59298486560313,,4.80810517290655,744.617175237387,,66.5939255094706,2.2760960068702,79.0,13.58819675,,2.956,61.934,5373294.0
Libya,4.51030149235703,91.9809235078212,-8.29981811198795,5986.63694851258,,,,73.0,4.74433613,,19.238,74.462,7223805.0
Liechtenstein,,,,188055.003235348,,,,,5.64409113,,,84.1219512195122,39493.0
Lithuania,19.7050461518394,86.7798492943433,2.53752574011534,25085.784063499,,101.905830383301,4.25285005569458,87.0,7.24367952,36.6,5.955,75.6439024390244,2831639.0
Luxembourg,6.33600807777919,222.308456163103,-1.0974168968152,123719.658915996,,99.484260559082,3.70599007606506,99.0,5.60926914,34.1,4.588,82.9463414634147,653103.0
"Macao SAR, China",1.04502802369954,84.7916044961703,-18.956941494497,36806.891255461,,84.9676674364896,6.05706977844238,,,,2.446,83.0804878048781,677300.0
Madagascar,8.16059031991844,30.5432948746479,4.15609778386296,503.51453347296,,132.887817840118,3.06772823003204,44.0,3.14948058,,3.186,63.068,30437261.0
Malawi,20.953969729969,11.342380846457,0.921115069005936,604.269740360317,,126.587758962955,2.74888371105811,82.0,6.62527609,,5.02,66.037,20568728.0
Malaysia,3.37869862549928,76.8077974825844,9.03173723044451,11754.5678336248,95.7699966430664,89.7872630978958,3.49933781956284,96.0,3.90037823,,3.93,75.444,34695493.0
Maldives,2.33314337624567,82.6708555603035,13.8260895184139,11786.0191492983,,96.0147426502285,4.67344315449896,98.0,7.4997015,,4.303,80.76,524106.0
Mali,9.62147608489064,26.025652624667,3.70319027595568,976.914116406452,,,4.04512227529275,69.0,3.72170115,,2.387,60.035,23072640.0
Malta,6.15375621933037,128.460090611122,2.48309993837792,35638.8869457406,,93.5346603393555,4.71973991394043,96.0,9.09105396,34.6,3.471,82.4487804878049,531113.0
Marshall Islands,,39.9778416749901,-0.700563926576777,6455.66062185762,,108.975506359207,7.70088005065918,81.0,13.60796833,,,66.725,40077.0
Mauritania,9.52526628622843,39.737807822992,6.79600500489967,1960.35240077424,,,1.38966000080109,84.0,4.66962671,,10.52,68.281,4875637.0
Mauritius,10.7737512242899,67.0292948520561,8.69306675264066,10246.5017455553,,,4.84085988998413,98.0,5.84209728,,6.322,73.5146341463415,1262523.0
Mexico,7.8962761916855,42.9322902133702,3.70975709163623,11405.7940473759,95.8486603965766,102.004783630371,4.0658597946167,86.0,5.70919704,43.5,3.256,73.973,128613117.0
"Micronesia, Fed. Sts.",5.40874375479067,21.1560380414413,-2.90588999868474,3710.12451611752,,87.1063321877434,,69.0,12.62718964,,,66.961,112114.0
Moldova,28.7372976766235,41.2264594544499,-4.6000000255323,5744.29618434435,,106.97324544397,6.11053991317749,84.0,6.96505404,25.9,0.909,71.546,2528654.0
Monaco,,,11.2662955198601,226052.001905201,,,1.17105996608734,88.0,3.39488029,,,85.746,38931.0
Mongolia,15.1509728200805,65.0613511558615,5.0327096366527,4993.51487463495,98.7300033569336,93.3473848373298,,94.0,8.85170174,31.4,5.954,71.9007317073171,3433748.0
Montenegro,13.0403036347004,51.3449416638117,7.73954689516201,10024.5435616209,,105.621368408203,,33.0,10.19081783,,14.851,76.1878048780488,623591.0
Morocco,6.65704202759067,44.7116282313453,1.81269242194809,3463.1376953125,,116.554648725847,5.91224674061277,99.0,5.75281,,9.413,75.161,37329064.0
Mozambique,10.2794018093421,49.8269428040417,4.36445074432608,578.251663751351,61.6778205151772,119.162225223393,5.97607342054314,63.0,8.24868107,49.6,6.789,63.011,32656246.0
